"URL ID",URL,Status,Content,"External Or Internal"
1,https://www.uml.edu/Research/Centers/CPH-NEW/Healthy-Work-Participatory-Program/default.aspx,301,,external
4,https://surveyortraining.cms.hhs.gov/pubs/VideoInformation.aspx?id=134&amp;cid=0CMSLEGWEB-Archived,302,,external
6,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c01.pdf,200,,external
7,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c02.pdf,200,,external
8,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c03.pdf,200,,external
9,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c04.pdf,200,,external
10,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c05.pdf,200,,external
11,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c06.pdf,200,,external
12,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/ge101c07.pdf,200,,external
13,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c02.pdf,200,,external
14,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c03.pdf,200,,external
15,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c04.pdf,200,,external
16,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c05.pdf,200,,external
17,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c06.pdf,200,,external
18,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c07.pdf,200,,external
19,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c08.pdf,200,,external
20,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c09.pdf,200,,external
21,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c10.pdf,200,,external
22,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c11.pdf,200,,external
23,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c12.pdf,200,,external
24,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c13.pdf,200,,external
25,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c14.pdf,200,,external
26,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c15.pdf,200,,external
27,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c16.pdf,200,,external
28,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c01.pdf,200,,external
29,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c02.pdf,200,,external
30,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c05.pdf,200,,external
31,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c06.pdf,200,,external
32,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c07.pdf,200,,external
33,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c12.pdf,200,,external
34,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c20.pdf,200,,external
35,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c23.pdf,200,,external
36,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c24.pdf,200,,external
37,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c25.pdf,200,,external
38,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c26.pdf,200,,external
39,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c29.pdf,200,,external
40,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c30.pdf,200,,external
41,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c32.pdf,200,,external
42,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c33.pdf,200,,external
43,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c34.pdf,200,,external
44,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/clm104c38.pdf,200,,external
45,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c01.pdf,200,,external
46,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c02.pdf,200,,external
47,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c03.pdf,200,,external
48,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c04.pdf,200,,external
49,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c05.pdf,200,,external
50,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c06.pdf,200,,external
51,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c07.pdf,200,,external
52,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c08.pdf,200,,external
53,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c09.pdf,200,,external
54,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c10.pdf,200,,external
55,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/fin106c12.pdf,200,,external
56,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c01.pdf,200,,external
57,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c02.pdf,200,,external
58,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c03.pdf,200,,external
59,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c04.pdf,200,,external
60,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c05.pdf,200,,external
61,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c06.pdf,200,,external
62,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c07.pdf,200,,external
63,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c08.pdf,200,,external
64,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c09.pdf,200,,external
65,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c10.pdf,200,,external
66,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c11.pdf,200,,external
67,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c12.pdf,200,,external
68,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c13.pdf,200,,external
69,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c14.pdf,200,,external
70,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/pim83c15.pdf,200,,external
71,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mpi115c01.pdf,200,,external
72,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mpi115c02.pdf,200,,external
73,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c01.pdf,200,,external
74,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c04.pdf,200,,external
75,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c05.pdf,200,,external
76,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c06.pdf,200,,external
77,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c13.pdf,200,,external
78,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c17d.pdf,200,,external
79,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/mc86c17f.pdf,200,,external
80,https://www.thecompliancestore.net/secure/wp-content/uploads/sites/2/2018/10/042017-Facility-PBJ-Audit-Letter.pdf,200,,internal
81,https://thecompliancestore.com/documents/AL%20-%20LTC%20Regs.pdf,302,,external
82,https://thecompliancestore.com/documents/AK%20-%20LTC%20Regs.pdf,302,,external
83,https://thecompliancestore.com/documents/AZ%20-%20LTC%20Regs.pdf,302,,external
84,https://thecompliancestore.com/documents/AR%20-%20LTC%20Regs.pdf,302,,external
85,https://thecompliancestore.com/documents/CA%20-%20LTC%20Regs.pdf,302,,external
86,https://thecompliancestore.com/documents/CO%20-%20LTC%20Regs.pdf,302,,external
87,https://thecompliancestore.com/documents/CT%20-%20LTC%20Regs.pdf,302,,external
88,https://thecompliancestore.com/documents/DE%20-%20LTC%20Regs.pdf,302,,external
89,https://thecompliancestore.com/documents/DC%20Nursing%20Facility%20Regs.pdf,302,,external
90,https://thecompliancestore.com/documents/FL%20-%20LTC%20Regs.pdf,302,,external
91,https://thecompliancestore.com/documents/FL%20-%20ASPEN%20RS.pdf,302,,external
92,https://thecompliancestore.com/documents/FL%20-%20Regulations%20Admin%20Code.pdf,302,,external
93,https://thecompliancestore.com/documents/GA%20Nursing%20Home%20Regulations.pdf,302,,external
94,https://thecompliancestore.com/documents/HI-LTC%20Regs.pdf,302,,external
95,https://thecompliancestore.com/documents/ID%20-%20LTC%20Regs.pdf,302,,external
96,https://thecompliancestore.com/documents/099-0430%20Illinois%20electronic%20monitoring%20in%20LTC%20facilities.pdf,302,,external
97,https://thecompliancestore.com/documents/IL%20-%20LTC%20Regs.pdf,302,,external
98,https://thecompliancestore.com/documents/IL%20-%20LTC%20Statutes.pdf,302,,external
99,https://thecompliancestore.com/documents/IN-Health%20Care%20Facilities.pdf,302,,external
100,https://thecompliancestore.com/documents/IA%20-%20LTC%20Regs.pdf,302,,external
101,https://thecompliancestore.com/documents/KS%20-%20LTC%20Statutes.pdf,302,,external
102,https://thecompliancestore.com/documents/KY%20-%20LTC%20Regs.pdf,302,,external
103,https://thecompliancestore.com/documents/LA%20-%20LTC%20Regs.pdf,302,,external
104,https://thecompliancestore.com/documents/ME%20-%20LTC%20Regs.pdf,302,,external
105,https://thecompliancestore.com/documents/MD%20-%20LTC%20Regs.pdf,302,,external
106,https://thecompliancestore.com/documents/MA%20-%20LTC%20Licensing.pdf,302,,external
107,https://thecompliancestore.com/documents/MI%20LTC%20Admin%20Code.pdf,302,,external
108,https://thecompliancestore.com/documents/MI%20-%20LTC%20Regs.pdf,302,,external
109,https://www.revisor.mn.gov/rules/?id=4658,301,,external
110,https://msdh.ms.gov/msdhsite/_static/resources/341.pdf,302,,external
111,https://thecompliancestore.com/documents/MO%20-%20LTC%20Regulations.pdf,302,,external
112,https://thecompliancestore.com/documents/MO%20-%20LTC%20Statutes.pdf,302,,external
113,https://thecompliancestore.com/documents/Min%20Stds%20for%20all%20HCF.pdf,302,,external
114,https://thecompliancestore.com/documents/MT%20-%20LTC%20Regs.pdf,302,,external
115,https://thecompliancestore.com/documents/NE%20Chapter%2012%20Nursing%20Facilities.pdf,302,,external
116,https://thecompliancestore.com/documents/Health%20Facility%20Licensure%20Act.pdf,302,,external
117,https://thecompliancestore.com/documents/Medical%20Facilities.pdf,302,,external
118,https://thecompliancestore.com/documents/NH%20-%20Long%20Term%20Care%20Regulations.pdf,302,,external
119,https://thecompliancestore.com/documents/NJ%20-%20LTC%20Regs.pdf,302,,external
120,https://thecompliancestore.com/documents/NM%20-%20LTC%20Regs.pdf,302,,external
121,https://thecompliancestore.com/documents/NY%20-%20LTC%20Regs.pdf,302,,external
122,https://thecompliancestore.com/documents/NC%20-%20LTC%20Regs.pdf,302,,external
123,https://thecompliancestore.com/documents/ND%20-%20LTC%20Regs.pdf,302,,external
124,https://thecompliancestore.com/documents/OH%20-%20LTC%20Regs.pdf,302,,external
125,https://thecompliancestore.com/documents/OK%20-%20LTC%20Regs.pdf,302,,external
126,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1783,0,,external
127,https://secure.sos.state.or.us/oard/displayDivisionRules.action;JSESSIONID_OARD=4bFIfS7Dd7SefcOBTIoB8sTpn_J8Omo2Wb-p7pNrO65XlvUwhDQs!-268141702?selectedDivision=1784,200,,external
128,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1785,200,,external
129,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1786,0,,external
130,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1789,200,,external
131,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1790,0,,external
132,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1791,0,,external
133,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1792,200,,external
134,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1793,200,,external
135,https://www.pacode.com/secure/data/028/subpartIVCtoc.html,301,,external
136,https://thecompliancestore.com/documents/RI%20-%20LTC%20Regs.pdf,302,,external
137,https://thecompliancestore.com/documents/SC%20-%20LTC%20Regs.pdf,302,,external
138,https://thecompliancestore.com/documents/SD%20-%20LTC%20Regs.pdf,302,,external
139,https://thecompliancestore.com/documents/TN%20-%20LTC%20Regs.pdf,302,,external
140,https://thecompliancestore.com/documents/SB%20304%20Texas%20LTC%20three%20strikes%20bill.pdf,302,,external
141,https://thecompliancestore.com/documents/Texas%20LTC%20facility%20bill%20analysis%20-%20SB%20304.pdf,302,,external
142,https://thecompliancestore.com/documents/TX%20-%20LTC%20Regs.pdf,302,,external
143,https://thecompliancestore.com/documents/UT-%20General%20HCF%20Rules%20r432.pdf,302,,external
144,https://thecompliancestore.com/documents/Utah%20Code.pdf,302,,external
145,https://thecompliancestore.com/documents/VT%20-%20LTC%20Regs.pdf,302,,external
146,https://thecompliancestore.com/documents/VT%20Long%20Term%20Care%20Statutes.pdf,302,,external
147,https://thecompliancestore.com/documents/VA%20-%20Nursing%20Facilities%20regs.pdf,302,,external
148,https://thecompliancestore.com/documents/WA%20-%20LTC%20Regs.pdf,302,,external
149,https://thecompliancestore.com/documents/WV%20-%20LTC%20Regs.pdf,302,,external
150,https://thecompliancestore.com/documents/WI%20Nursing%20Home%20Regulations.pdf,302,,external
151,https://thecompliancestore.com/documents/WY%20-%20LTC%20Regs.pdf,302,,external
215,https://www.adph.org/HEALTHCAREFACILITIES/assets/AsstedLivingRules112015.pdf,200,,external
216,https://www.adph.org/HEALTHCAREFACILITIES/assets/SCALFRules.pdf,200,,external
217,https://dhss.alaska.gov/dhcs/Documents/0.Res.Licensing.Background/ALHRegulationsandStatutesEffectiveasof3-7-09.pdf,200,,external
218,https://apps.azsos.gov/public_services/CodeTOC.htm,301,,external
219,https://humanservices.arkansas.gov/images/uploads/dms/alfi.PDF,301,,external
220,https://humanservices.arkansas.gov/images/uploads/dms/alfii.pdf,301,,external
221,https://humanservices.arkansas.gov/images/uploads/dms/rcf.pdf,301,,external
222,https://www.cdss.ca.gov/Portals/9/rcfeman1.pdf?ver=2017-02-13-082151-983,200,,external
223,https://www.cdss.ca.gov/ord/entres/getinfo/pdf/rcfeman2.pdf,200,,external
224,https://www.cdss.ca.gov/Portals/9/rcfeman3.pdf?ver=2017-02-13-083132-730,200,,external
225,https://www.cdss.ca.gov/Portals/9/rcfeman4.pdf?ver=2017-02-13-082405-417,200,,external
226,https://thecompliancestore.com/documents/CA%20Residential%20Health%20Care%20Facility%20Health%20and%20Safety%20Code%20for%20the%20Elderly.pdf,302,,external
227,https://thecompliancestore.com/documents/CO%20Assisted%20Living%20Regulations%20Chapter%207.pdf,302,,external
